cenario,numero_comparacoes,numero_copias,tempo_gasto,n,tipo_vetor
cenario1,14286,31333,0.0822,1000,INT,
cenario1,14773,789,0.1062,1000,RATING,
cenario1,247676,667179,0.791,5000,INT,
cenario1,209116,4493,0.9646,5000,RATING,
cenario1,711995,1965454,2.1468,10000,INT,
cenario1,776081,9237,3.0258,10000,RATING,
cenario1,23679232,70318474,69.0054,50000,INT,
cenario1,24453586,47940,95.9176,50000,RATING,
cenario1,57273830,170252382,158.129,100000,INT,
cenario1,71182654,98574,251.284,100000,RATING,
cenario1,1773690160,5314062690,4772.44,500000,INT,
cenario1,1655495939,499199,5640.5,500000,RATING,
